generated,window_start,window_end,days,page_views,visits,referred_visits,direct,internal
2026-08-10,2026-07-11,2026-08-09,30,120,110,10,100,10
2026-08-11,2026-08-04,2026-08-10,7,119,95,15,80,24
2026-08-20,2026-08-13,2026-08-19,7,113,109,46,63,4
2026-08-24,2026-08-17,2026-08-23,7,135,124,63,61,11
2026-08-26,2026-08-23,2026-08-25,3,66,64,29,35,2
2026-08-26,2026-08-23,2026-08-25,3,66,64,29,35,2
2026-08-31,2026-08-24,2026-08-30,7,167,152,66,86,15
2026-09-04,2026-08-28,2026-09-03,7,244,227,132,95,17
2026-09-07,2026-08-31,2026-09-06,7,282,253,161,92,29
2026-09-09,2026-08-12,2026-09-08,28,730,610,250,360,120
2026-09-14,2026-09-07,2026-09-13,7,493,431,239,192,62
2026-09-21,2026-09-14,2026-09-20,7,688,618,355,263,70
